id,labels
http://dblp.l3s.de/d2r/resource/publications/conf/cscwd/2012,computer work design supported cooperative
http://dblp.l3s.de/d2r/resource/publications/conf/coling/2010,linguistics computational
http://dblp.l3s.de/d2r/resource/publications/conf/cscwd/2010,computer work design supported cooperative
http://dblp.l3s.de/d2r/resource/publications/conf/coling/2012,linguistics technical computational
http://dblp.l3s.de/d2r/resource/publications/conf/coling/2014,linguistics technical computational
http://dblp.l3s.de/d2r/resource/publications/conf/fun/2007,algorithms fun
http://dblp.l3s.de/d2r/resource/publications/conf/pldi/2014,design implementation language programming
http://dblp.l3s.de/d2r/resource/publications/conf/pldi/2015,design implementation language programming
http://dblp.l3s.de/d2r/resource/publications/conf/pldi/2016,design implementation language programming
http://dblp.l3s.de/d2r/resource/publications/conf/pldi/2010,design implementation language programming
